District_Name,Year,Kharif,Rabi,Autumn,Summer,Whole Year,Winter
Kendujhar,2013,27.014333333333337,22.87675,24.867,28.6545,28.824968936951407,22.59625
Kendujhar,2014,27.851333333333333,22.91675,24.893,29.18,29.17308074474596,22.4285
Kendujhar,2015,26.996,22.398,24.32,28.0655,29.010006728728825,23.13875
Kendujhar,2016,27.400666666666663,22.93175,24.467,28.28275,28.941917227394068,22.72175
Kendujhar,2017,27.72666666666667,23.0025,25.11875,28.13025,29.017659768949503,22.96025
Kendujhar,2018,27.042666666666666,22.8025,24.4845,28.40325,29.18147164741246,23.4645
Khagaria,2001,27.54433333333333,20.9745,23.64025,28.896,25.39475,20.205
Khagaria,2002,26.95433333333333,20.496,23.12275,28.76025,27.0045625,19.410500000000003
Khagaria,2003,27.62033333333333,21.256,24.2195,28.9805,27.74938020833333,20.27
Khagaria,2004,28.71733333333333,22.02825,24.897,29.1805,28.21044835069444,20.53425
Khagaria,2005,28.209333333333333,20.67125,23.84825,28.8095,27.754454029224533,19.495
Khagaria,2006,27.917,20.8635,23.957,29.2495,27.50578783576871,19.392000000000003
Khagaria,2007,27.91333333333333,20.89625,23.7745,28.76425,27.750815652980723,19.9235
Khagaria,2008,28.086,20.43975,23.8435,29.18325,27.481317971081733,18.9745
Khagaria,2009,27.745666666666665,21.163500000000003,23.92875,29.11825,27.69585983092348,20.0875
Khagaria,2010,27.88366666666667,21.039,23.7505,29.1685,27.74340498591029,19.90825
Khagaria,2011,27.701666666666668,20.7025,24.037,29.0105,27.794700415492525,19.80575
Khagaria,2012,27.662666666666667,21.02925,24.0665,28.6415,27.626391701291045,20.01025
Khagaria,2013,27.33633333333333,20.365,23.293000000000003,28.9295,27.38236597510759,19.31325
Khagaria,2014,28.786999999999995,21.64575,24.7315,29.65625,28.074697164592305,19.68675
Khagaria,2015,27.95833333333333,21.51775,24.226,28.90575,28.25872476371602,20.586
Khagaria,2016,27.888,21.6815,24.141,28.9585,27.965393730309675,19.92375
Khagaria,2017,28.618666666666662,22.088,24.9815,29.1685,28.268532810859146,20.233
Khagaria,2018,27.799000000000003,21.12725,24.05,29.453750000000003,28.16687773423825,20.46175
Khammam,2001,27.978333333333328,25.09825,26.0935,29.101750000000003,28.3125,26.247
Khammam,2002,28.696,25.157750000000004,26.793750000000003,29.8465,30.71845833333333,25.41025
